AmountSaved,저장된 금액
ScotApp_681,선호 상품에서 선택
ScotApp_581,거래 보류가 거부되었습니다
ScotApp_481,도움 필요
ScotApp_381,일반
ScotApp_908,보안
ScotApp_521,환불 금액:
ScotApp_1087,카드가 승인되었습니다. 상품과 쿠폰을 스캔해 주십시오.
ScotApp_981,981unused
ScotApp_881,보류:
ScotApp_1774,쿠폰 금액 너무 높음
ScotApp_1296,모든 동전 컨테이너를 최적 서비스 수준으로 보충 주십시오.
ScotApp_1583,화폐 량이 낮습니다  (%s)
ScotApp_1552,상자가 가득 참
ScotApp_1295,땅콩
ScotApp_1877,도난 경고
ScotApp_1761,쿠폰 상자가 가득 찼거나 쿠폰 슬롯이 막혔습니다. 쿠폰 슬롯을 막고 있는 물체를 제거하고 쿠폰 상자를 비워 주십시오.
ScotApp_1086,0 중량 추가를 선택하면 모든 중량 항목이 삭제됩니다.
ScotApp_693,693unused
ScotApp_794,지폐 지급 장치 카세트 걸림\n지폐 지급 장치 걸림을 제거해 주십시오.
ScotApp_694,694unused
ScotApp_594,NCR SelfServ Checkout SigCap 로드 완료
ScotApp_494,목록에서 캐시 백 금액을 선택해 주십시오.
ScotApp_394,394unused
ScotApp_1098,* 프린터 캐비닛 도어를 여십시오.\n* 이 때 보이는 영역에 용지 걸림이 발생했는지 점검합니다.\n* 용지 걸림이 없으면 용지를 적재합니다.\n* 웃는 얼굴이 찍힌 영수증이 인쇄되어야 합니다.\n* 프린터 케비닛 도어를 닫고 잠궈 주십시오.
ScotApp_1551,화폐량이 많음  (%s)
ScotApp_994,닫기 완료
ScotApp_894,DBM 로드 완료
ScotApp_1760,쿠폰 상자가 가득 찼거나 쿠폰 슬롯이 막혔습니다. 쿠폰 슬롯을 막고 있는 물체를 제거하고 쿠폰 상자를 비워 주십시오.
ScotApp_1371,현금 수납 장치
ScotApp_1803,현금 전용
ScotApp_1359,내역서 프린터
ScotApp_1085,쿠폰 수집
ScotApp_21,21unused
ScotApp_776,776unused
ScotApp_676,동전 지급 장치: %s에 다시 채움(%s)
ScotApp_1491,에러를 수정하려면 장치 매뉴얼을 참고하십시오.
ScotApp_476,쿠폰 제출
ScotApp_376,376unused
ScotApp_276,276unused
ScotApp_176,계산을 중단하고 전체 구입 내역을 취소하시겠습니까?
ScotApp_976,976unused
ScotApp_876,"총괄 출납 직원 ID를 입력한 다음 '입력'을 눌러 주십시오."
ScotApp_1271,사용자 지정13
ScotApp_1767,저울 무게 매개변수 접근 실패.
ScotApp_755,처리 중...
ScotApp_655,예외 상품
ScotApp_1084,컬렉션
ScotApp_455,455unused
ScotApp_355,시스템 기능 선택
ScotApp_255,255unused
ScotApp_155,시스템 메시지
ScotApp_1011,운반 중...
ScotApp_869,"인증 번호를 입력한 다음 '입력'을 눌러 주십시오."
ScotApp_955,Smart Scale 적용 실패
ScotApp_855,조립 요금:
ScotApp_23,+ %s (%s)
ScotApp_1766,스캐너/저울 에러.
ScotApp_1280,현금
ScotApp_1335,계산 통로 닫기 완료
ScotApp_1497,에러를 수정하려면 장치 매뉴얼을 참고하십시오.
ScotApp_728,728unused
ScotApp_628,계산 통로 #: %d
ScotApp_528,528unused
ScotApp_428,노란색
ScotApp_328,고객에게 %s 지급 실패.\n동전 및 지폐 지급 장치를 점검해 주십시오.\n만일 비어 있으면 다시 채워 주십시오.\n비어 있지 않은 경우 걸림을 제거해 주십시오. \n’직접 문제 해결 완료’을 눌러 주십시오.
ScotApp_228,카드 리더 셔터 걸림 발생 닫힘
ScotApp_128,128unused
ScotApp_1690,SafePay
ScotApp_281,281unused
ScotApp_181,"\n키패드를 이용해서 원 단위로 쿠폰 금액을 입력한 다음 'OK'을 눌러 주십시오."
ScotApp_928,계산 통로로 가서 장치를 점검해 주십시오.
ScotApp_828,828unused
ScotApp_1033,"상품을 비활성화 시키거나 계산 통로에서 하드 태그를 제거한 다음 '보안 허용'을 눌러 주십시오."
ScotApp_1496,에러를 수정하려면 장치 매뉴얼을 참고하십시오.
ScotApp_680,680unused
ScotApp_580,쿠폰이 무효화되기 전에 상품 무효화 시도함.
ScotApp_380,380unused
ScotApp_280,보안 로그 삭제
ScotApp_180,잠시 동안 쿠폰을 유보합니다.\n구입 마지막 단계에 쿠폰을 투입합니다.
ScotApp_1364,Micr
ScotApp_980,고객 응답 없이 타이머 시간 초과
ScotApp_880,880unused
ScotApp_970,970unused
ScotApp_1104,e=d=0.01 lb Max 30.00 lb min 0.2 lb Nmax 3000
ScotApp_1032,EAS 상품 활성화 상태 유지.
ScotApp_1286,한국어
ScotApp_1462,상자
ScotApp_1298,오퍼레이터 도움 기능
ScotApp_1031,쿠폰을 스캔해 주십시오.
ScotApp_1482,에러를 수정하려면 장치 매뉴얼을 참고하십시오.
ScotApp_1706,장치가 준비되지 않았습니다.\n* 장치를 이용하고 있을 수도 있는 다른 응용 프로그램을 종료하고 ’직접 문제 해결 완료’를 눌러 주십시오\n* 에러가 다시 발생하면 Gunnebo에 연락해서 서비스를 요청해 주십시오.
ScotApp_1399, 안내 직원
ScotApp_1494,에러를 수정하려면 장치 매뉴얼을 참고하십시오.
ScotApp_1672,SafePay
ScotApp_573,"사용자 ID를 입력한 다음 '입력'을 눌러 주십시오."
ScotApp_173,173unused
ScotApp_775,NCR SelfServ Checkout에서 여러분을 환영합니다! 즐거운 쇼핑이 되시길 바랍니다!
ScotApp_675,동전 지급 장치 다시 채움
ScotApp_1481,에러를 수정하려면 장치 매뉴얼을 참고하십시오.
ScotApp_79,79unused
ScotApp_69,69unused
ScotApp_59,다시 시도
ScotApp_39,거래 취소
ScotApp_29,제한 상품
ScotApp_19,세금
ScotApp_975,975unused
ScotApp_603,중량 항목 편집/추가
ScotApp_99,무효화할 수량
ScotApp_89,89unused
ScotApp_303,상품 취소
ScotApp_203,203unused
ScotApp_103,상품 코드를 입력하십시오.
ScotApp_1889,보안 신뢰 수준
ScotApp_1443,보충을 위해 동전을 넣거나 방출을 위해서 ‘현금 제거’를 눌러 주십시오.
ScotApp_903,장바구니 영역에서 상품 제거.
ScotApp_803,803unused
ScotApp_1555,지급 장치
ScotApp_1037,서명
ScotApp_1480,에러를 수정하려면 장치 매뉴얼을 참고하십시오.
ScotApp_1263,사용자 지정5
ScotApp_1697,걸림 제거됨
ScotApp_748,748unused
ScotApp_648,UPC
ScotApp_548,548unused
ScotApp_448,보너스 카드 계정이 활성화되었습니다.
ScotApp_348,348unused
ScotApp_248,248unused
ScotApp_148,148unused
ScotApp_1479,에러를 수정하려면 장치 매뉴얼을 참고하십시오.
ScotApp_948,\n* 원격 도움
ScotApp_848,필요 수량:
ScotApp_485,서명 필요
ScotApp_1036,EAS 상품 활성화
ScotApp_1487,에러를 수정하려면 장치 매뉴얼을 참고하십시오.
ScotApp_1499,에러를 수정하려면 장치 매뉴얼을 참고하십시오.
ScotApp_1023,1023unused
ScotApp_1179,남겨둔 거스름돈 타이머 시간 초과
ScotApp_1035,EAS 상품 활성화
ScotApp_1682,SafePay
ScotApp_1486,에러를 수정하려면 장치 매뉴얼을 참고하십시오.
ScotApp_1144,지급 장치 응답하지 않음.
ScotApp_866,예
ScotApp_1498,에러를 수정하려면 장치 매뉴얼을 참고하십시오.
ScotApp_1384,언어
ScotApp_1743,사용자 ID를 입력하고 ‘입력’을 누르거나 손가락을 지문 인식 장치에 위치시켜서 로그인합니다.
ScotApp_1319,상품권
ScotApp_1178,역치 초과 제거 완료
ScotApp_1001,상품 찾을 수 없음
ScotApp_1034,1034unused
ScotApp_1485,에러를 수정하려면 장치 매뉴얼을 참고하십시오.
ScotApp_1068,1068unused
ScotApp_1694,%s 때문에 대체 금액이 사용됩니다. 다시 채우기 또는 걸림 제거를 위해서 ‘현금/용지 상태’를 눌러 주십시오.
ScotApp_1165,프린터가 올바른 위치에 걸릴 때까지 앞으로 주의해서 당겨 주십시오.\n\n프린터 케비닛 도어를 닫고 잠궈 주십시오.
ScotApp_1021,주의
ScotApp_1230,마이너스 항목
ScotApp_1484,에러를 수정하려면 장치 매뉴얼을 참고하십시오.
ScotApp_912,중량 승인 및 업데이트
ScotApp_723,723unused
ScotApp_623,"키패드를 이용해서 허용치를 입력한 다음 '입력'을 눌러 주십시오."
ScotApp_523,카드 거부됨
ScotApp_423,카드를 삽입하십시오. 추가 상품에 대해 바구니를 점검합니다.
ScotApp_323,  Qty %d @ %d/%s
ScotApp_223,카드 리더 캡처 상자 공간 부족
ScotApp_123,123unused
ScotApp_1020,상품 스캔
ScotApp_923,923unused
ScotApp_823,무효화 승인
ScotApp_1483,에러를 수정하려면 장치 매뉴얼을 참고하십시오.
ScotApp_1237,쿠폰
ScotApp_1680,SafePay
ScotApp_702,702unused
ScotApp_602,중량 항목 \n편집/추가
ScotApp_502,취소한 상품을  유보해 주십시오.
ScotApp_402,존재하지 않음
ScotApp_302,지불 장치에서 귀하의 PIN을 입력해 주십시오.
ScotApp_202,사인 끄기 테스트 중...
ScotApp_102,반납된 상품
ScotApp_1722,계산 통로가 교육 모드입니다. 거래를 계속하시겠습니까?
ScotApp_902,장바구니 영역에서 상품 제거.  상품을 반납해 주십시오.
ScotApp_802,"\n%s의 전체 한 상자를 \n구입하시겠습니까? \n\n'예' 또는 '아니요'를 선택하십시오."
ScotApp_568,삭제
ScotApp_468,   반납됨
ScotApp_368,프린터 용지 로드되지 않고 걸림
ScotApp_268,카드 읽기 오류
ScotApp_1027,"'예'를 누르면 거래를 취소하고 '아니요'를 누르면 거래가 계속됩니다."
ScotApp_1354,선물 카드 수집
ScotApp_968,968unused
ScotApp_868,인증 번호 입력:
ScotApp_1433,저울에 남아 있습니다.
ScotApp_1687,SafePay
ScotApp_1150,프린터 케비닛 도어가 열렸습니다.
ScotApp_1699,%s 때문에 대체 금액이 사용됩니다. 다시 채우거나 걸림을 제거한 다음 ‘상태 수정됨’을 눌러 주십시오.
ScotApp_1259,사용자 지정1
ScotApp_1223,현금 / 용지 부족
ScotApp_1379,단위 가격
ScotApp_1432,<<<지폐 부족. 다시 보충해 주십시오.>>>
ScotApp_1686,SafePay
ScotApp_1157,지폐 지급 장치 도어가 열린 것 같습니다.\n\n접근 도어가 열려 있으면 지폐 지급 장치가 작동하지 않습니다.\n\n지급 장치 도어나 안전 도어를 완전하게 닫아서 고정시켜 주십시오.
ScotApp_1013,뒤로 이동한 상품
ScotApp_1184,자세한 데이터
ScotApp_1848,"상품 삭제됨. 다음 상품 스캔 또는 ""코드 입력"" 누르기."
ScotApp_1169,프린터 케비닛 도어를 열어 주십시오.\n* 프린터가 올바른 위치에 걸릴 때까지 주의해서 앞으로 당겨 주십시오.\n* 프린터 케비닛 도어를 닫고 잠궈 주십시오.
ScotApp_1662,다른 영수증
ScotApp_1311,* 지폐 수납 장치를 제거합니다.\n* 수납 장치 모듈을 엽니다.\n* 걸림을 점검하고 모듈을 교체합니다.\n* 지폐 수납 장치 모터가 켜져 있고 LED가 녹색으로 켜져 있는지 확인하십시오.
ScotApp_1025,모든 상품들을 벨트에서 제거한 다음 안전 커버를 닫아 주십시오.
ScotApp_1378,중량
ScotApp_22,현금 반환 없음\n+ 0          \n(%s)
ScotApp_1234,수량 제한
ScotApp_1685,SafePay
ScotApp_1156,동전 지급 장치 전원 스위치가 켜져 있는지 확인하십시오.
ScotApp_1012,상품이 운반 중입니다.
ScotApp_1365,MSR
ScotApp_1235,EAS 상품 활성화
ScotApp_1221,마이너스 잔고
ScotApp_1143,동전이 부족하거나 동전 컨테이너가 없습니다.
ScotApp_434,혜택 유형
ScotApp_1625,SafePay
ScotApp_1430,상품 무효화
ScotApp_1684,SafePay
ScotApp_1155,장치가 오프라인 상태입니다.
ScotApp_834,요금 및 고객 계약 내용:
ScotApp_799,장바구니 확인
ScotApp_699,판매할 수 없는 상품
ScotApp_599,Forms Device 재설정 중...
ScotApp_499,499unused
ScotApp_399,399unused
ScotApp_299,299unused
ScotApp_199,User Exits 로드 완료
ScotApp_743,743unused
ScotApp_643,상품 삭제됨. 다음 상품을 스캔하십시오.
ScotApp_543,오퍼레이터 ID는 %d 자리를 초과할 수 없습니다.
ScotApp_343,343unused
ScotApp_243,카드 리더 잘못된 카드
ScotApp_999,제한 초과됨
ScotApp_899,다음에 대한 무효화 승인:
ScotApp_1220,EFT
ScotApp_1142,동전 지급 장치 에러
ScotApp_943,봉투/상자
ScotApp_843,843unused
ScotApp_1437,‘상품 제거’ 역치 초과
ScotApp_1601,     카드 지급 장치 상자에 카드가 부족합니다
ScotApp_722,722unused
ScotApp_622,UPC에 대한 허용치 편집
ScotApp_522,잘못된 PIN
ScotApp_422,422unused
ScotApp_322,322unused
ScotApp_222,"프린터 요청 시퀀스: 에러 확인을 위해 프린터나 이벤트 뷰어를 점검한 다음 '직접 문제 해결 완료'을 눌러 주십시오."
ScotApp_122,122unused
ScotApp_1010,1010unused
ScotApp_922,922unused
ScotApp_822,무효화된 상품 승인
ScotApp_1715,보류 거부 승인
ScotApp_1227,시간 제한
ScotApp_701,701unused
ScotApp_601,601unused
ScotApp_401,카드를 삽입하십시오. 추가 상품에 대해 바구니를 점검합니다.
ScotApp_301,쿠폰 금액 입력
ScotApp_201,사인 켜기 테스트 중...
ScotApp_101,알 수 없는 가격
ScotApp_1633,SafePay
ScotApp_901,담기 작업 건너뛰기 승인.
ScotApp_801,상자 단위 구입
ScotApp_1824,デジタル・レシートが発行されませんでした。
ScotApp_1328,두 배 중량
ScotApp_1299,거래 시작 및 도움 모드로 전환
ScotApp_1226,반납된 상품
ScotApp_1140,지폐 지급 장치에 걸림 발생.
ScotApp_1579,지폐 투입 장치
ScotApp_1426,%s\n%d이(가) 정확합니까?
ScotApp_1632,SafePay
ScotApp_1141,%s 지급 실패.  주의: 지폐 지급 장치 위쪽에 지폐가 걸린 것 같습니다.
ScotApp_1791,현금 전용
ScotApp_1357,선물 카드 수집
ScotApp_763,763unused
ScotApp_714,714unused
ScotApp_614,장바구니 담기
ScotApp_514,514unused
ScotApp_314,상자 문제 발생
ScotApp_214,직불 확인 중
ScotApp_114,상품 취소 불가능
ScotApp_1369,기타
ScotApp_78,ATM (현금 없음)
ScotApp_1630,SafePay
ScotApp_58,OK
ScotApp_48,48unused
ScotApp_914,"계산 통로로 가서 여분의 상품들을 제거한 다음 '보안 허용'을 눌러 주십시오."
ScotApp_1422,휴대형 스캐너
ScotApp_18,총합
ScotApp_1147,보안 저울 에러
ScotApp_1578,총합:
ScotApp_1022,벨트 건너뛰기
ScotApp_98,98unused
ScotApp_88,88unused
ScotApp_1003,시간 제한
ScotApp_1434,연령 제한
ScotApp_1356,수집
ScotApp_1212,기타
ScotApp_1455,잘못된 번호
ScotApp_1713,보류 거부 승인 터치
ScotApp_1565,%s에 대한 로드 값 입력
ScotApp_194,Device Manager 로드 중...
ScotApp_1275,사용자 지정17
ScotApp_1146,수납 장치 응답하지 않음.
ScotApp_1303,고객 카드 허용됨: #%s
ScotApp_70,70unused
ScotApp_60,도움 요청
ScotApp_50,50unused
ScotApp_40,매장 인증
ScotApp_30,무효화 상품
ScotApp_20,20unused
ScotApp_10,10unused
ScotApp_1779,쿠폰이 무효화 될 때까지 관련 상품을 무효화할 수 없습니다. 상품의 쿠폰을 먼저 무효화해 주십시오.
ScotApp_1211,기본 설정
ScotApp_90,90unused
ScotApp_80,80unused
ScotApp_663,PIN 입력 오류
ScotApp_463,원격 승인 종료 중...
ScotApp_363,\n키패드를 이용해서 오퍼레이터 패스워드를 입력해 주십시오.
ScotApp_163,163unused
ScotApp_1420,상품 취소\n%s?
ScotApp_1145,동전 수납 장치 에러
ScotApp_963,요청 취소
ScotApp_863,쿠폰 금액 입력
ScotApp_1816,동전이 걸려 있거나 문이 열려 있습니다.
ScotApp_1637,SafePay
ScotApp_742,742unused
ScotApp_642,상품 추가됨. 다음 상품을 스캔하십시오.
ScotApp_542,오퍼레이터 바코드를 생성할 수 없습니다.
ScotApp_342,유형 설명
ScotApp_242,카드 리더 카드 걸림
ScotApp_142,금액 승인
ScotApp_1210,최근 보기
ScotApp_942,942unused
ScotApp_842,842unused
ScotApp_1044,오퍼레이터 도움 입찰
ScotApp_1427,다음 물품의 수량 변경: \n%s
ScotApp_721,721unused
ScotApp_621,기본 설정
ScotApp_1341,부피 제어
ScotApp_421,"상품을 스캔하거나 '시작'을 눌러서 시작할 수 있습니다."
ScotApp_321,거래 확인
ScotApp_221,프린터 케비닛 도어를 닫고 잠궈 주십시오.
ScotApp_121,이 계산대에서의 상품
ScotApp_1636,SafePay
ScotApp_921,보안 저울에서 예상된 중량.
ScotApp_821,821unused
ScotApp_600,보안 유지 관리
ScotApp_500,500unused
ScotApp_400,400unused
ScotApp_1368,Sigcap
ScotApp_200,Transaction Broker 테스트 중...
ScotApp_100,필요 수량
ScotApp_1076,주의
ScotApp_1623,SafePay
ScotApp_1340,전체 시스템 종료
ScotApp_1108,%s\t%s\t%s @ %s %s/%s\t%s
ScotApp_1814,깔대기 상자가 올바른 위치가 아닙니다.
ScotApp_1758,쿠폰 상자 에러
ScotApp_1635,SafePay
ScotApp_1557,지급 장치 픽업
ScotApp_734,734unused
ScotApp_634,634unused
ScotApp_534,시간 제한 상품
ScotApp_1413,# 분 이내에 모든 거래를 완료해 주시기 바랍니다.  곧 전원이 차단될 것입니다.
ScotApp_334,카드 리더 카드 없음 에러
ScotApp_234,지폐 카세트를 제거합니다.\n\n카세트에서 지폐들을 제거합니다.\n\n카세트가 올바른 위치에서 걸쇠에 걸릴 때까지 다시 넣습니다.\n\n카세트를 잡아 당겨서 카세트가 올바르게 걸쇠에 걸리도록 합니다.
ScotApp_1569,값
ScotApp_1801,작업 모드
ScotApp_934,중량 증가
ScotApp_1622,카세트
ScotApp_768,보류 확인
ScotApp_668,서명 인쇄 성공.
ScotApp_1347,다시 연결 시도 중
ScotApp_1778,보안 허용
ScotApp_168,쿠폰을 스캔한 다음 구입이 끝날 때 까지 유보해 주시기 바랍니다.
ScotApp_1203,배서된 문서
ScotApp_1634,SafePay
ScotApp_1556,지급 장치 픽업
ScotApp_1412,도움 기능
ScotApp_1783,안전 커버 열림
ScotApp_1232,승인된 서명
ScotApp_1568,총합:                    %s
ScotApp_1800,작업 모드 선택
ScotApp_1495,에러를 수정하려면 장치 매뉴얼을 참고하십시오.
ScotApp_1621,SafePay
ScotApp_1346,해당 계산 통로는 현재 오프라인 상태이며  자동으로 연결을 다시 시도하고 있습니다.
ScotApp_72,72unused
ScotApp_62,예
ScotApp_52,쿠폰 취소
ScotApp_42,무효화 상품
ScotApp_32,계속
ScotApp_12,  Qty %d @ %s/각 항목
ScotApp_1411,수량 변경
ScotApp_92,환영합니다!
ScotApp_82,82unused
ScotApp_1807,_ _ _
ScotApp_1089,종료 보고서 기간
ScotApp_1620,SafePay
ScotApp_1345,Security Manager 종료 중...
ScotApp_1819,동전 재순환 장치 수납 장치 에러
ScotApp_762,762unused
ScotApp_662,%
ScotApp_1554,투입 장치
ScotApp_462,원격 승인 로드 완료.
ScotApp_362,패스워드 입력
ScotApp_262,262unused
ScotApp_162,상품과 쿠폰을 스캔해 주십시오.
ScotApp_1410,가격 변경
ScotApp_962,"계산 통로에서 무효한 상품들을 한 곳으로 모은 다음 '무효 승인'을 눌러 주십시오."
ScotApp_862,쿠폰 금액 입력:
ScotApp_1806,\n* ’카드 전용’을 누르면 거래를 종료하고 고객에게 수작업으로 잔돈을 지급합니다.
ScotApp_1088,1088unused
ScotApp_1627,SafePay
ScotApp_741,741unused
ScotApp_641, 평균 무게      승인      장부       허용치 유형     허용치 값      일자
ScotApp_541,오퍼레이터 스캔 바코드 인쇄
ScotApp_441,금액 승인
ScotApp_341,341unused
ScotApp_241,Device Manager 예상하지 못한 에러
ScotApp_141,카드 유형 선택
ScotApp_941,무효화 상품
ScotApp_841,상품 입력
ScotApp_1873,1873unused
ScotApp_25,출생 날짜:
ScotApp_720,720unused
ScotApp_520,알 수 없는 상품 코드
ScotApp_420,420unused
ScotApp_320,뒤로 이동
ScotApp_220,* 프린터 케비닛 도어를 열어 주십시오.\n* 걸림을 확인하기 위해서 프린터 커버를 열어 주십시오.\n* 새 인쇄 용지 두루마리를 프린터에 넣어 주십시오.\n* 프린터 케비닛 도어를 닫고 잠궈 주십시오
ScotApp_120,거래 취소됨 제거
ScotApp_1626,SafePay
ScotApp_1423,휴대형 스캐너 연결 시도 중입니다.
ScotApp_920,승인/업데이트 않음.
ScotApp_820,무효 승인
ScotApp_1757,엑센트를 추가하려면 화면 아래 쪽에서 ‘액센트’ 키를 누른 다음 문자를 입력합니다.
ScotApp_1872,1872unused
ScotApp_754,이전 7일간 요약
ScotApp_554,지금은 요금 카드를 사용하지 마십시오.
ScotApp_1613,차단 상자
ScotApp_354,시스템 기능
ScotApp_254,동전 지급 장치 작동 불가능.\n동전 지급 장치에 동전을 채우거나\n전원을 켜거나 \n지급 장치 걸림을 제거해 주십시오.
ScotApp_154,로드 중...
ScotApp_1769,코드 입력
ScotApp_1240,현금
ScotApp_954,Smart Scale 열기 실패
ScotApp_854,상품 5개
ScotApp_1547,에러를 수정하려면 장치 매뉴얼을 참고하십시오.
ScotApp_1403,NCR SelfServ Checkout 프로그램을 정지시킨 후 다시 시작하십시오. 에러가 계속 발생하면 헬프 데스크에 연락하십시오.
ScotApp_545,제한 상품
ScotApp_1559,나가기
ScotApp_1871,%s %s 관찰됨
ScotApp_1612,카드 관리
ScotApp_1550,에러를 수정하려면 장치 매뉴얼을 참고하십시오.
ScotApp_845,추가 상품 스캔:
ScotApp_1564,%s에 대한 로드 카운트 입력
ScotApp_1768,지원되지 않는 무게 단위.
ScotApp_1272,사용자 지정14
ScotApp_1546,에러를 수정하려면 장치 매뉴얼을 참고하십시오.
ScotApp_74,무효 승인
ScotApp_64,선택 내용 취소
ScotApp_54,취소
ScotApp_44,44unused
ScotApp_34,34unused
ScotApp_1558,나가기 및 저장
ScotApp_14,14unused
ScotApp_1870,%s %s 예상
ScotApp_1389,서명 캡처 장치 에러
ScotApp_1611,     차단 상자가 다 차 있습니다
ScotApp_94,94unused
ScotApp_84,옵션 로드
ScotApp_1289,비트
ScotApp_687,보고서 인쇄
ScotApp_587,서명
ScotApp_487,아래
ScotApp_387,전송 중 걸림
ScotApp_287,스캐너: 유효하지 않은 태그
ScotApp_1545,에러를 수정하려면 장치 매뉴얼을 참고하십시오.
ScotApp_1336,유틸리티
ScotApp_987,상품이 벨트에서 제거됨. 상품을 반납해 주십시오.
ScotApp_887,상품 제거됨
ScotApp_555,다른 지불 수단
ScotApp_1610,     차단 상자가 거의 다 차 있습니다(%s)
ScotApp_1041,서명 승인
ScotApp_1691,지폐 관리
ScotApp_1809,동전 재순환 장치 공급 장치 에러
ScotApp_1288,아스파라거스
ScotApp_761,761unused
ScotApp_1193,확인된 ID
ScotApp_561,쿠폰 유보
ScotApp_461,원격 승인 로드 중...
ScotApp_361,계산 통로 닫기 완료
ScotApp_261,261unused
ScotApp_961,"중량 학습 데이터베이스 오류: 에러 확인을 위해 이벤트 뷰어를 점검한 다음 '직접 문제 해결 완료'을 눌러 주십시오."
ScotApp_861,861unused
ScotApp_1876,%s %s 관찰됨
ScotApp_740,740unused
ScotApp_640,기존 WLDB 중량 항목
ScotApp_540,540unused
ScotApp_340,목록에서 상품을 선택하십시오. 화살표 단추를 이용해서 위 아래로 스크롤 할 수 있습니다.
ScotApp_240,Device Manager 일반적인 오류
ScotApp_140,감사합니다
ScotApp_1105,e=d=0.005kg Max 13.995kg min 0.1kg Nmax 2799
ScotApp_1192,조립 요금
ScotApp_940,무효
ScotApp_840,상품 입력:
ScotApp_1863,"'승인' 또는 '상품 무효화' 누르기"
ScotApp_1463,수치 상 변화
ScotApp_1875,%s %s 예상
ScotApp_774,받은 포인트:
ScotApp_674,입찰 거부 이유: 
ScotApp_780,780unused
ScotApp_474,474unused
ScotApp_374,프린터 흑점 에러
ScotApp_174,스캔한 상품을 찾을 수 없습니다. 아직 구입이 되지 않았거나 이미 취소되었습니다.
ScotApp_1029,쿠폰 삽입
ScotApp_974,974unused
ScotApp_1679,SafePay
ScotApp_1747,지문 인식 장치 에러
ScotApp_1862,스캐너 저울에서 상품 확인
ScotApp_1603,     카드 지급 장치 상자가 정상입니다
ScotApp_1419,멀티 팩
ScotApp_1759,쿠폰 상자 가득 참
ScotApp_649,포함 가격
ScotApp_1039,이전 상품에 EAS 태그가 있습니다
ScotApp_849,필요 수량
ScotApp_765,765unused
ScotApp_565,매장 로그인
ScotApp_1549,에러를 수정하려면 장치 매뉴얼을 참고하십시오.
ScotApp_1861,선택 목록
ScotApp_1731,선택 목록 이미지 로드 중...
ScotApp_76,76unused
ScotApp_66,66unused
ScotApp_56,지불 취소
ScotApp_46,도움
ScotApp_36,환불:
ScotApp_26,26unused
ScotApp_16,%s이(가) 카드에 지불 금액이 청구될 것입니다.
ScotApp_719,719unused
ScotApp_619,현재 허용치를 편집하기 위해서 <허용치 입력>이나 <기본 설정>을 선택하십시오.
ScotApp_519,쿠폰 금액 너무 높음
ScotApp_419,419unused
ScotApp_319,카드로 결제
ScotApp_219,219unused
ScotApp_119,모든 상품 취소
ScotApp_96,96unused
ScotApp_86,86unused
ScotApp_1755,목록에서 선택 
ScotApp_1038,서명 확인
ScotApp_919,"상품 중량을 확인한 다음 '중량 승인 및 업데이트'를 누르거나 '승인/업데이트하지 않음'을 눌러 주십시오."
ScotApp_1489,에러를 수정하려면 장치 매뉴얼을 참고하십시오.
ScotApp_1745,지문 인식 장치가 연결 해제 되었습니다.\n\n다시 시도해 주십시오.
ScotApp_1860,Please select from picklist assisted items or look-up item alphabetically.
ScotApp_1268,사용자 지정10
ScotApp_1008,1008unused
ScotApp_786,계산 통로에서 보류됨
ScotApp_686,어제
ScotApp_586,쿠폰: %0.0ld/$%0.2lf
ScotApp_486,위
ScotApp_386,카세트 제거됨
ScotApp_286,스캐너: 유효하지 않은 태그 접두사 2
ScotApp_186,186unused
ScotApp_1488,에러를 수정하려면 장치 매뉴얼을 참고하십시오.
ScotApp_986,986unused
ScotApp_886,"상품을 장바구니 영역으로 반납하거나 '상품 제거됨'을 누르십시오."
ScotApp_1393,NCR SelfServ Checkout 프로그램을 정지시킨 후 다시 시작하십시오. 만일 에러가 계속 발생하면 헬프 데스크에 연락하시기 바랍니다.
ScotApp_1867,카메라 시야 가림
ScotApp_68,68unused
ScotApp_38,38unused
ScotApp_28,구매 취소
ScotApp_1024,1024unused
ScotApp_760,카드를 이 모니터 쪽으로 향하게 해서 통과시켜 주십시오.
ScotApp_660,모든 화폐 레벨이 정상입니다
ScotApp_460,이렇게 하면 구매가 완료됩니다.
ScotApp_360,계산 통로 닫기
ScotApp_260,260unused
ScotApp_1392,3색 등 에러
ScotApp_960,\n* 최대 무게 허용 초과.\n* 봉투 저울에서 상품을 제거하십시오.
ScotApp_860,필요한 치수:
ScotApp_1866,인기 상품
ScotApp_1459,현금 관리 보고서
ScotApp_1239,없음
ScotApp_1301,Pick List 편집
ScotApp_1749,지문 처리 중
ScotApp_1017,벨트에서 뒤로 이동한 상품들을 제거해 주십시오.
ScotApp_1771,쿠폰 금액 제한
ScotApp_739,739unused
ScotApp_639,중량 예상   중량 비교
ScotApp_539,539unused
ScotApp_439,439unused
ScotApp_339,339unused
ScotApp_239,Device Manager 예상하지 못한 상태
ScotApp_1092,보고서 내용
ScotApp_1851,승인 금지 
ScotApp_1238,다른 지불 방식
ScotApp_939,타이머 시간 초과
ScotApp_839,활동 취소
ScotApp_1333,백스페이스
ScotApp_24,무효화
ScotApp_1016,벨트 위의 뒤로 이동한 상품
ScotApp_1615,언로드 하려면 지급 장치 픽업 단추를 눌러 주십시오.
ScotApp_1723,교육 거래
ScotApp_1028,쿠폰 역치 초과
ScotApp_1435,동전/지폐 지급 장치 에러
