AmountSaved,المبلغ المدخر
ScotApp_1005,التوثيق البصري
ScotApp_1655,مبيعات القسم
ScotApp_1228,معلق
ScotApp_1725,تعطيل الأمن
ScotApp_1006,عرض آخر
ScotApp_496,حد الكمية المسموح بها
ScotApp_1018,عاما من العمر كحد أدنى.
ScotApp_1160,"تأكد من أن السلك موصول بالجهة الخلفية من PinPad. \n\nإذا كان السلك موصولا بإحكام، المس ""حللت المشكلة"". \n\nإذا استمر الخطأ، أوقف تشغيل الجهاز وأعد تشغيله."
ScotApp_1073,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s;LSWND3=%s;DATANEEDEDTYPE=%d;
ScotApp_1424,"لتحقيق اتصال ماسحتك الضوئية المحمولة المس ""اتصال""."
ScotApp_1202,ممر مغلق
ScotApp_679,تقارير المساعدة
ScotApp_1792,بطاقات فقط
ScotApp_1214,الوصل
ScotApp_1804,الخروج من وضعية البطاقات فقط
ScotApp_879,879 غير مستخدمة
ScotApp_1072,بحاجة إلى معلومات
ScotApp_1631,خطأ في جهاز توثيق الأوراق النقدية
ScotApp_1148,الميزان لا يستجيب.
ScotApp_1244,مدخرات الخصم
ScotApp_1004,تأكد من السلعة
ScotApp_1282,بحاجة إلى سعر لـ
ScotApp_1071,1071 غير مستخدمة
ScotApp_1276,محدد من قبل المستخدم18
ScotApp_1200,تنبيع على السعر
ScotApp_1639,خطأ في جهاز إعادة تدوير النقود المعدنية
ScotApp_1828,\n    - حجم الصوت %d%%
ScotApp_1308,تم إدخال الرقم السري
ScotApp_1417,"إذا كانت السلعة متعددة الأغلفة، المس ""وضعية المساعدة"" وألغها، ثم امسح باركود الغلاف المتعدد."
ScotApp_1343,يجري تحميل المدير الأمني...
ScotApp_779,779 غير مستخدمة
ScotApp_1429,<<<مستوى النقود المعدنية منخفض. نرجو إعادة التعبئة.>>>
ScotApp_579,579 غير مستخدمة
ScotApp_479,إسقاط القسائم.
ScotApp_379,متلقي النقود
ScotApp_279,الاعتراف بجميع الأمنية المسجلة.
ScotApp_179,179 غير مستخدمة
ScotApp_1865,ابحث عن سلعة n\من دون وزن
ScotApp_1207,توقيع موثق
ScotApp_1638,افحص أسلاك جهاز إعادة تدوير النقود المعدنية وجرب مجددا. إذا حدث الخطأ مجددا، اطلب الصيانة.\n\nخطأ في SafePay: %s
ScotApp_979,الحد = %d طلبات عملاء
ScotApp_707,الأيام السبعة الماضية
ScotApp_607,ضبط فرض التعبئة في أكياس
ScotApp_507,توثيق السلع بصريا
ScotApp_307,وعاء آخر
ScotApp_207,207 غير مستخدمة
ScotApp_107,المساعدة قادمة
ScotApp_1219,خاضعة لقيود عمرية
ScotApp_907,907 غير مستخدمة
ScotApp_807,إزالة البطاقة الأمنية
ScotApp_1077,إعادة السلع إلى الحزام
ScotApp_1428,تغيير سعر السلعة: \n%s
ScotApp_1695,إصلاح لاحقا
ScotApp_1206,سلعة تمت إزالة تعطيلها
ScotApp_1218,الجمع
ScotApp_1782,ابدأ العملية في الصباح
ScotApp_1273,محدد من قبل المستخدم15
ScotApp_1624,انقل جميع الأوراق النقدية إلى العلبة
ScotApp_793,793 غير مستخدمة
ScotApp_1059,1059 غير مستخدمة
ScotApp_593,يجري تحميل NCR SelfServ Checkout SigCap...
ScotApp_493,ستتم طباعة وصلك تحت آلة الدفع.
ScotApp_393,طابعة السجل
ScotApp_293,اطلب المساعدة
ScotApp_1205,تراكم في منطقة التعبئة في الأكياس
ScotApp_993,الممر مغلق
ScotApp_893,يجري تحميل DBM...
ScotApp_1063,1063 غير مستخدمة
ScotApp_1414,هذا الممر غير متاح حتى تعود الطاقة.
ScotApp_1182,حد مبلغ القسيمة
ScotApp_1201,عرض خاضع للمساعدة
ScotApp_1075,الحد من/تخطي الحزام
ScotApp_1348,الممر مغلق
ScotApp_1671,افتح وحدة إعادة تدوير النقود الورقية وأزل النقود من العلبة. أغلق وحدة إعادة التدوير. \nاصرف النقود المعدنية من الملقم وأزلها من كأس الباقي.
ScotApp_1204,رقم الوثيقة
ScotApp_1284,1284 غير مستخدمة
ScotApp_1062,1062 غير مستخدمة
ScotApp_1233,دفع بطريقة أخرى
ScotApp_27,27 غير مستخدمة
ScotApp_1074,الموافقة على تخطي الحزام.
ScotApp_1472,آلة إعادة تدوير النقود غير جاهزة
ScotApp_1026,إلغاء العملية.
ScotApp_1061,1061 غير مستخدمة
ScotApp_1617,المبلغ المدخل يتجاوز السعة. أدخل تعداد الحمل لصندوق الصراف مرة أخرى. أقصى سعة هي %d.
ScotApp_1050,1050 غير مستخدمة
ScotApp_744,744 غير مستخدمة
ScotApp_1591,افحص وصلة السلك بصراف النقود المعدنية
ScotApp_1130,خطأ في متلقي الأوراق النقدية
ScotApp_1270,محدد من قبل المستخدم12
ScotApp_1629,مشكلة في إعدادات وحدة المعالجة المركزية أو معايير Sysdata.  نرجو طلب الصيانة. \n\nخطأ في SafePay: %s
ScotApp_1820,"أزل السلعة من الميزان، واضغط "">0<"" على الماسحة الضوئية."
ScotApp_882,تأكيد التعليق.
ScotApp_1440,إدارة الأوراق
ScotApp_1407,إعادة التحميل
ScotApp_727,727 غير مستخدمة
ScotApp_627,العملية #:
ScotApp_527,527 غير مستخدمة
ScotApp_427,الوسط منخفض
ScotApp_327,خطأ في الأجهزة:
ScotApp_227,تم إدخال بطاقة غير صحيحة في قارئ البطاقات
ScotApp_127,127 غير مستخدمة
ScotApp_665,"اختر ""إلغاء الكل"" أو ""العودة"" للمتابعة."
ScotApp_1060,نرجو الانتظار...
ScotApp_1616,أدخل تعداد الحمل لصندوق الصراف. أقصى مبلغ يمكنك تحميله هو %d.
ScotApp_927,عطل في الآلة
ScotApp_827,مرر باركود السلعة فوق الحشية وضعها في منطقة التعبئة في أكياس.
ScotApp_1540,نرجو الرجوع إلى دليل الآلة لإصلاح الخطأ.
ScotApp_900,ضع السلعة في منطقة التعبئة في أكياس.
ScotApp_1277,محدد من قبل المستخدم19
ScotApp_865,تأكيد حامل البطاقة
ScotApp_506,506 غير مستخدمة
ScotApp_406,406 غير مستخدمة
ScotApp_306,لا يوجد وعاء
ScotApp_206,سيتم تحميل الخيارات.
ScotApp_106,المساعدة مطلوبة
ScotApp_1209,تم تجاوز حد بطاقة الهدية
ScotApp_806,الموافقة على سلع التوثيق البصري
ScotApp_1067,1067 غير مستخدمة
ScotApp_1418,تم تجاوز أقصى حد مسموح من الوزن.
ScotApp_1473,الآلة غير جاهزة. \n\nصل الطاقة وافحص سلك التوصيل أو أعد الوحدة إلى داخل الخزانة.  
ScotApp_187,187 غير مستخدمة
ScotApp_1716,WE:
ScotApp_1190,القسيمة المدخلة
ScotApp_1602,          صندوق صراف البطاقات منخفض (%s)
ScotApp_1149,خطأ في طابعة الوصول
ScotApp_1066,1066 غير مستخدمة
ScotApp_1614,صندوق الصراف
ScotApp_792,792 غير مستخدمة
ScotApp_692,692 غير مستخدمة
ScotApp_592,تم تحميل مشفر NCR SelfServ Checkout.
ScotApp_492,نرجو أخذ الباقي.
ScotApp_392,سلعة غير معروفة
ScotApp_292,تعذر مسح القسيمة
ScotApp_192,192 غير مستخدمة
ScotApp_1241,إضافة
ScotApp_1197,عملية ملغاة
ScotApp_1548,نرجو الرجوع إلى دليل الآلة لإصلاح الخطأ.
ScotApp_992,أدخل تاريخ الميلاد
ScotApp_892,يجري إنهاء الميزان الذكي...
ScotApp_1053,انتظر أن يجلب المحاسب القسيمة الورقية للتوقيع عليها.
ScotApp_1404,خادم نقطة البيع معطل أو غير متزامن، نرجو إيقاف تشغيل الجهاز باستخدام المحول.
ScotApp_1245,فحص الخصم
ScotApp_1262,محدد من قبل المستخدم4
ScotApp_1471,خطأ في آلة إعادة تدوير النقود المعدنية
ScotApp_1196,رقم رخصة السواقة
ScotApp_1052,1052 غير مستخدمة
ScotApp_1600,حالة صراف البطاقات:
ScotApp_1663,الصندوق فارغ أو مزدحم
ScotApp_1261,محدد من قبل المستخدم 3
ScotApp_1125,"أعد تعبئة جميع قنوات النقود المعدنية في أعلى مخزن النقود المعدنية. \n\nانتقل إلى وضعية المتجر، اختر ""حالة النقد/ الورق"" والمس زر ""تمت تعبئة صراف النقود المعدنية""."
ScotApp_1183,تنبيع على السعر
ScotApp_1470,خطأ في آلة إعادة تدوير النقود الورقية
ScotApp_1195,تعليق CSA
ScotApp_1229,تم طلب المساعدة
ScotApp_1051,الموافقة على القسيمة الورقية
ScotApp_1607,          رفض أن الصندوق عادي (%s)
ScotApp_1895,Genr Excp
ScotApp_747,747 غير مستخدمة
ScotApp_647,لا
ScotApp_447,تم تفعيل حساب الزبون المتكرر الخاص بك.
ScotApp_347,تم إلغاء السلعة الخاضعة للقيود - العمر غير مطابق للشروط. نرجو وضع السلعة جانبا.
ScotApp_247,247 غير مستخدمة
ScotApp_147,147 غير مستخدمة
ScotApp_1260,محدد من قبل المستخدم 2
ScotApp_1619,تعليق
ScotApp_769,تأكيد التعليق أو إلغاؤه.
ScotApp_947,وزن سلعة جديدة
ScotApp_847,إنهاء المسح
ScotApp_1477,نرجو الرجوع إلى دليل الآلة لإصلاح الخطأ.
ScotApp_726,726 غير مستخدمة
ScotApp_626,درجة التحمل:
ScotApp_526,\nتم إدخال رقم سري غير صحيح.\nأدخل بطاقة مختلفة\n -أو-\nادفع نقدا
ScotApp_426,الممر##:
ScotApp_326,لا يتوافق تاريخ الميلاد مع العمر المطلوب لشراء السلع الخاضعة لقيود.
ScotApp_226,جهاز قارئ البطاقات غير قابل للتشغيل
ScotApp_126,(الشهر اليوم السنة).
ScotApp_1606,          رفض أن الصندوق عادي
ScotApp_926,لم تتم إعادة السلع إلى منطقة التعبئة في الأكياس.
ScotApp_826,لا أريد \nتعبئة هذه السلعة في كيس
ScotApp_1267,محدد من قبل المستخدم9
ScotApp_1618,علبة صراف الأوراق النقدية خارج موضعها أو غير مثبتة بإحكام. \n\n ركب أو أعد علبة الأوراق النقدية إلى مكانها حتى تثبت.
ScotApp_1181,تم تجاوز حد القسيمة
ScotApp_205,تم النسخ.
ScotApp_105,سلعة غير معروفة
ScotApp_1476,نرجو الرجوع إلى دليل الآلة لإصلاح الخطأ.
ScotApp_1730,بحث
ScotApp_1390,الآلة لا تستجيب
ScotApp_805,الموافقة على السلع
ScotApp_1864,توجّه إلى الممر
ScotApp_1408,مساعدة
ScotApp_1266,محدد من قبل المستخدم8
ScotApp_1180,لا يوجد سعر مطابق
ScotApp_1208,مباع في وضعية المساعدة
ScotApp_1475,نرجو الرجوع إلى دليل الآلة لإصلاح الخطأ.
ScotApp_1397,الحاضر
ScotApp_1748,فشل في تسجيل الدخول ببصمة الإصبع
ScotApp_718,718 غير مستخدمة
ScotApp_618,تحمل الوزن
ScotApp_518,أدخل النقود.
ScotApp_1253,PIP ولاء
ScotApp_1604,          صندوق صراف البطاقات عادي (%s)
ScotApp_218,الطابعة فارغة تقريبا
ScotApp_118,الموافقة مطلوبة
ScotApp_552,لا يمكن أن تبدأ هوية المشغل وكلمة المرور بالرقم صفر.
ScotApp_791,اختر نوع الدفع
ScotApp_691,691 غير مستخدمة
ScotApp_591,يجري تحميل مشفر NCR SelfServ Checkout...
ScotApp_391,سلع بحاجة إلى سعر
ScotApp_918,لا يوجد سجل لوزن السلعة.
ScotApp_1187,خطأ في الآلة
ScotApp_991,فحص العمر
ScotApp_891,تم تحميل الميزان الذكي.
ScotApp_1474,خطأ في الأجهزة. رمز الخطأ E%d
ScotApp_1396,اخرج من وضعية الموظف الحاضر
ScotApp_1252,PIP إعادة خصم نقدا
ScotApp_1732,تم تحميل صور قائمة الاختيار.
ScotApp_1461,النقود المعدنية
ScotApp_1166,*افتح باب خزانة الطابعة. \n* افصل الطابعة وادفعها إلى الخلف. \n* افتح غطاء الطابعة لفحص وجود أوراق عالقة. \n* أغلق غطاء الطابعة وأعد تحميل الورق. \n* اسحب الطابعة بحرص إلى الأمام حتى تثبت في مكانها.
ScotApp_1186,نقص غير متوقع
ScotApp_1857,  لا تضع على الحزام
ScotApp_1829,الموافقة
ScotApp_1670,خطأ في جهاز إعادة تدوير النقود الورقية/المعدنية
ScotApp_1198,تم إدخال رقم الحساب
ScotApp_1869,اليد ظاهرة
ScotApp_1251,PIP خصم
ScotApp_1855,Optional
ScotApp_767,المستوى الإعلامي عادي
ScotApp_667,تم مسح البطاقة. امسح قسائمك وسلعك.
ScotApp_567,إدخال
ScotApp_467,467 غير مستخدمة
ScotApp_367,367 غير مستخدمة
ScotApp_267,الأمان
ScotApp_1460,الأوراق
ScotApp_1185,تم تجاوز حد التعبئة في أكياس وصناديق
ScotApp_1009,وضعية المتجر
ScotApp_867,لا
ScotApp_1856,  لا تعبئ في أكياس.
ScotApp_1677,تأكد من إغلاق باب جهاز إعادة تدوير النقود المعدنية.
ScotApp_746,746 غير مستخدمة
ScotApp_646,نعم
ScotApp_1394,خطأ في الواجهة الرقمية
ScotApp_446,تعليق العملية
ScotApp_346,الصراف الآلي (الباقي النقدي)
ScotApp_246,246 غير مستخدمة
ScotApp_146,نرجو اختيار طريقة الدفع.
ScotApp_1501,نرجو الرجوع إلى دليل الآلة لإصلاح الخطأ.
ScotApp_1609,          رفض أن الصندوق شبه ممتلئ
ScotApp_1194,رقم التخويل
ScotApp_946,الموافقة على التعبئة في أكياس/صناديق
ScotApp_846,"امسح السلع أو المس ""انتهيت من المسح""."
ScotApp_1843,حقيبة خاصة
ScotApp_1467,"استخدم شاشة ""حالة النقد/الورق"" لتفريغ النقد."
ScotApp_725,725 غير مستخدمة
ScotApp_625,أدخل درجة تحمل وزن بين <%s> و<%s>.
ScotApp_1381,تجري المعالجة...
ScotApp_425,425 غير مستخدمة
ScotApp_325,التاريخ المُدخل غير صحيح
ScotApp_225,تم إدخال صندوق الالتقاط في قارئ البطاقات 
ScotApp_1676,باب جهاز إعادة تدوير النقود المعدنية مفتوح
ScotApp_925,925 غير مستخدمة
ScotApp_825,عبئ السلعة في كيس
ScotApp_1608,          رفض أن الصندوق فارغ
ScotApp_1842,مساعدة كاملة
ScotApp_1808,اختر السلعة على الوصل.
ScotApp_1466,آلة إعادة تدوير النقود ممتلئة
ScotApp_1380,السعر
ScotApp_1854,Optional
ScotApp_1675,خطأ في جهاز إعادة تدوير النقود المعدنية
ScotApp_1597,بطاقة الولاء
ScotApp_1350,تمت إضافة %s\n%s %s 
ScotApp_738,738 غير مستخدمة
ScotApp_638,معلومات تحمل WLDB السارية المفعول
ScotApp_538,538 غير مستخدمة
ScotApp_338,اطبع أول ثلاثة حروف من وصف السلعة.
ScotApp_238,\nفشل متلقي النقود في تسجيل النقود التي تم إدخالها.\n\nافحص علبة النقود.
ScotApp_138,خذ البطاقة
ScotApp_1170,افتح باب خزانة الطابعة. \n* افتح غطاء الطابعة وأزل أية أوراق عالقة. \n* أغلق غطاء الطابعة وأعد تحميل الورق. \n* أغلق وأقفل باب خزانة الطابعة.
ScotApp_1841,Please go to Lane for Approval
ScotApp_1740,توثيق الكيس
ScotApp_938,938 غير مستخدمة
ScotApp_838,اتفاقية العميل
ScotApp_1133,انسداد في جهاز تلقي الأوراق النقدية.
ScotApp_1387,"واجه البرنامج خطأ خطيرا. \nأعد تشغيل الجهاز. \n\nلإعادة تشغيل الجهاز:\n* أدر مفتاح المشرف إلى 'S' -أو- اضغط على زر المشرف. \n* اختر إعادة تشغيل النظام بالكامل. \n*اتصل بالدعم وأبلغهم بالخطأ."
ScotApp_1674,اضغط على زر الإخراج لإخراج النقود المعدنية العالقة.  إذا تكرر الخطأ، قد تكون هناك نقود معدنية عالقة. افتح غطاء النقود المعدنية وثبته.  أزل أية نقود معدنية عالقة.  اضغط على زر الرفض لإعادة الضبط.  أطلق غطاء النقود المعدنية وأغلقه.
ScotApp_1650,(اليوم الشهر السنة)
ScotApp_690,690 غير مستخدمة
ScotApp_590,يجري إنهاء معمل الأجهزة ...
ScotApp_490,"امسح سلعك، أو المس ""بداية"" لتبدأ."
ScotApp_390,سلع مستردة
ScotApp_290,290 غير مستخدمة
ScotApp_190,تحميل وسيط العملية جار...
ScotApp_990,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s;LSWND3=%s;
ScotApp_890,يجري تحميل الميزان الذكي...
ScotApp_1772,القسيمة
ScotApp_1661,"تعذرت طباعة الوصل. المس ""وصولات أخرى"" للمحاولة مجددا."
ScotApp_1132,خطأ في الاتصال.
ScotApp_1386,خطأ خطير
ScotApp_784,صراف الأوراق غير قابل للعمل\n* عبئ صراف الأوراق أو\n* أزل انسداد الصراف أو\n* عدل صندوق النفايات.
ScotApp_684,اليوم
ScotApp_584,تم رفض EBT.
ScotApp_484,التوقيع مطلوب
ScotApp_384,384 غير مستخدمة
ScotApp_284,الماسحة الضوئية: تم فقد البيانات
ScotApp_1595,اللغة المفضلة
ScotApp_1451,هوية المحاسب
ScotApp_984,تم تحميل حزام النقل.
ScotApp_884,إلغاء التعليق
ScotApp_1847,"السلعة أضيفت. امسح السلعة التالية أو المس ""إدخال الرمز""."
ScotApp_1660,اختر خيار الطباعة
ScotApp_1131,علبة الأوراق النقدية منزوعة أو غير مركبة بالشكل الصحيح.
ScotApp_1385,اختر اللغة
ScotApp_1436,"""تم تجاوز حد ""تخطي التعبئة في أكياس"""
ScotApp_1049,1049 غير مستخدمة
ScotApp_666,666 غير مستخدمة
ScotApp_1594,أطفئ الجهاز بالشكل الصحيح وأعد تشغيله.
ScotApp_466,      تم مسح سلعة غير معروفة
ScotApp_366,انسداد في سكين الطابعة
ScotApp_266,إنهاء الوكيل الثاني...
ScotApp_966,966 غير مستخدمة
ScotApp_1541,نرجو الرجوع إلى دليل الآلة لإصلاح الخطأ.
ScotApp_1846,"امسح السلعة أو المس ""إدخال الرمز""."
ScotApp_1667,أوراق نقدية عالقة
ScotApp_1689,خطأ في جهاز إعادة تدوير الأوراق النقدية
ScotApp_745,745 غير مستخدمة
ScotApp_645,أعد السلعة الممسوحة إلى منطقة التعبئة في أكياس.
ScotApp_1581,صراف النقود المعدنية
ScotApp_445,مكافأة نقدية
ScotApp_345,345 غير مستخدمة
ScotApp_245,جهاز قارئ البطاقات غير قابل للتشغيل
ScotApp_145,145 غير مستخدمة
ScotApp_945,الحد/التعبئة في أكياس/التعبئة في صناديق
ScotApp_713,713 غير مستخدمة
ScotApp_613,ضع السلعة على ميزان الأكياس.
ScotApp_513,513 غير مستخدمة
ScotApp_313,313 غير مستخدمة
ScotApp_213,213 غير مستخدمة
ScotApp_113,إلغاء السلع
ScotApp_1573,المس أزرار التحميل للتعبئة أو المس زري استلام المتلقي واستلام الصراف للتفريغ.
ScotApp_913,سلعة غير متوقعة على الميزان الأمني.
ScotApp_813,"اطبع # طلب الشراء / اسم الوظيفة والمس ""إدخال"""""
ScotApp_1666,خطأ في جهاز إعادة تدوير الأوراق النقدية
ScotApp_1137,%s علبة الأوراق غير مركبة.
ScotApp_1580,صراف الأوراق النقدية
ScotApp_758,758 غير مستخدمة
ScotApp_658,العملة منخفضة
ScotApp_558,سلعة خاضعة لقيود على الكمية
ScotApp_1653,المبلغ يتجاوز السعة. أقصى مبلغ لازم هو %s. تم إدخال مبلغ %s أوتوماتيكيا.
ScotApp_358,العودة إلى وضعية المساعدة
ScotApp_258,يجري إنهاء وسيط العملية ...
ScotApp_158,يجب موافقة المتجر على هذه السلعة. نرجو المتابعة.
ScotApp_1844,بحث
ScotApp_958,ميزان الأكياس
ScotApp_858,نعم
ScotApp_1136,صندوق الأوراق المرفوضة منزوع أو غير مثبت بإحكام.
ScotApp_1587,هل أنت متأكد من أنك تريد تجاهل التغيرات في شاشة إدارة النقود الورقية؟
ScotApp_1531,نرجو الرجوع إلى دليل الآلة لإصلاح الخطأ.
ScotApp_1599,فشل في البحث عن المفضلة %s.
ScotApp_1652,(السنة الشهر اليوم)
ScotApp_1123,"*لا تتابع حتى تتم إزالة جميع الأوراق العالقة. \n* اسحب صراف الأوراق بحرص إلى خارج الخزانة.\n* أزل الأوراق العالقة في أعلى صراف الأوراق دون إعاقة الأحزمة.\n* ادفع صراف الأوراق إلى مكانه في الخزانة مجددا. \n* أقفل الباب والمس ""حللت المشكلة""."
ScotApp_1342,اختيار المرفق
ScotApp_1332,مسافة
ScotApp_1586,%s              %s  %s
ScotApp_1444,إزالة
ScotApp_1598,تم تفعيل المفضلة.
ScotApp_1651,(السنة الشهر اليوم)
ScotApp_1122,قد تكون هناك أوراق عالقة في مخرج صراف الأوراق النقدية. \n\nاسحب الصراف جزئيا من الخزانة. \n\nأزل أية أوراق عالقة في المنطقة المبينة. \nادفع الصراف بحرص إلى داخل الخزانة مجددا.
ScotApp_1331,تحول
ScotApp_1585,الصناديق				القيمة		التغير في القيمة
ScotApp_1118,مشكلة في صرف %s ورقة. تعذر استرجاع \n\n%s ورقة من علبة الأوراق النقدية. \n\nأزل علبة الأوراق النقدية %s وافحص حالة الأوراق.
ScotApp_1884,تنبيه المساعدة الذكية
ScotApp_1191,القياس مطلوب
ScotApp_1121,قد تكون هناك أوراق نقدية عالقة في المنطقة المبينة. \n\nاسحب صراف الأوراق النقدية جزئيا من الخزانة. \n\nأزل الأوراق العالقة. \n\nادفع صراف الأوراق بحرص إلى مكانه في الخزانة.
ScotApp_503,503 غير مستخدمة
ScotApp_403,403 غير مستخدمة
ScotApp_1849,
ScotApp_1330,لم تتم تعبئة السلعة في كيس
ScotApp_1355,رصيدك
ScotApp_1584,الصناديق				التعداد	التغير في التعداد
ScotApp_465,%s               %s
ScotApp_365,انسداد في رأس الطابعة
ScotApp_265,265 غير مستخدمة
ScotApp_965,965 غير مستخدمة
ScotApp_633,التوقيع:
ScotApp_433,433 غير مستخدمة
ScotApp_333,خطأ انسداد في غالق قارئ البطاقات 
ScotApp_233,تأكد من أن متلقي الأوراق النقدية مركب بالشكل الصحيح.\n\nاسحب المقبض إلى الأمام لإطلاقه واسحب متلقي الأوراق النقدية إلى الأمام.\n\nادفع متلقي الأوراق النقدية إلى الخلف حتى يتوقف.
ScotApp_133,133 غير مستخدمة
ScotApp_1120,قد تكون هناك أوراق نقدية عالقة أمام علبة الأوراق النقدية %s أو داخلها. \n\n أزل العلبة %s وابحث عن أوراق نقدية عالقة في هذه المنطقة. \n\n أزل الأوراق العالقة إذا أمكن ثم أعد علبة الأوراق النقدية إلى مكانها.
ScotApp_1805,الخروج من وضعية النقد فقط
ScotApp_933,عدم تطابق في الوزن
ScotApp_833,833 غير مستخدمة
ScotApp_1337,الخروج من SelfServ Checkout
ScotApp_1780,ابدأ العملية
ScotApp_712,712 غير مستخدمة
ScotApp_612,إضافة وزن
ScotApp_512,التوثيق البصري
ScotApp_312,الصندوق مسدود
ScotApp_212,212 غير مستخدمة
ScotApp_112,تأكيد الكمية
ScotApp_1081,إظهار\nجميع الممرات
ScotApp_778,778 غير مستخدمة
ScotApp_678,678 غير مستخدمة
ScotApp_578,إنهاء عرض البطاقة.  موعد التغيير.
ScotApp_478,إسقاط القسائم.
ScotApp_378,طباعة الوصل
ScotApp_278,سجل الأمن
ScotApp_1127,إعادة الاتصال
ScotApp_1802,قبول البطاقات فقط
ScotApp_978,الحد = %d
ScotApp_878,إدخال السعر.
ScotApp_1533,نرجو الرجوع إلى دليل الآلة لإصلاح الخطأ.
ScotApp_1787,أدخل عدد الأكياس البلاستيكية التي استخدمتها أو 0 إذا لم يتم استخدام أية أكياس.
ScotApp_1799,وضعية البطاقات فقط
ScotApp_1309,* أدخل العلبة حتى تثبت في مكانها. \n* تأكد من عمل محرك متلقي الأوراق النقدية لمدة قصيرة.
ScotApp_1323,الوزن المتبقي
ScotApp_1079,ضع السلعة الممسوحة على الحزام مجددا.
ScotApp_1382,(Std)
ScotApp_1532,نرجو الرجوع إلى دليل الآلة لإصلاح الخطأ.
ScotApp_1786,ثمن الكيس البلاستيكي
ScotApp_1094,طباعة التواقيع
ScotApp_1113,    %s بسعر  %s/%s\t%s
ScotApp_1798,وضعية النقد فقط
ScotApp_1322,خطأ في مجس القسائم\nفشل في الاتصال.
ScotApp_1078,اختر إعدادات استثناء الوزن. (يجب على العميل أن يضع السلعة على الحزام).
ScotApp_1334,    السلعة ليست على الحزام
ScotApp_1785,تسجيل دخول غير صحيح. نرجو تسجيل الدخول مجددا باستخدام لوحة المفاتيح أو بصمة الإصبع.
ScotApp_1046,نرجو أخذ %s إلى المحاسب عن نقطة البيع.
ScotApp_1696,تم تصحيح الحالة
ScotApp_1112,    %s بسعر  %s %s/%s\t%s
ScotApp_1158,خطأ في آلة PinPad / EFT
ScotApp_1065,1065 غير مستخدمة
ScotApp_1321,أنه الدفع بكوبون.  الرصيد المستحق.
ScotApp_764,764 غير مستخدمة
ScotApp_1530,نرجو الرجوع إلى دليل الآلة لإصلاح الخطأ.
ScotApp_1784,سلعة متعددة الأغلفة
ScotApp_1070,1070 غير مستخدمة
ScotApp_49,49 غير مستخدمة
ScotApp_1111,    الكمية %s بسعر  %s/%s\t%s
ScotApp_753,الأمس في الساعة
ScotApp_653,"أدخل قيمة القسيمة بالسنتات والمس ""إدخال""."
ScotApp_453,حالة متلقي البطاقات ممتلئ
ScotApp_353,العودة
ScotApp_253,253 غير مستخدمة
ScotApp_153,153 غير مستخدمة
ScotApp_1320,ابدأ الدفع بكوبون.
ScotApp_953,"أوقف تشغيل الجهاز وأعد تشغيله:\n\n أدر قفل مفاتيح المشرف إلى 'S' -أو- اضغط على زر المشرف.\n اختر ""إيقاف تشغيل النظام بالكامل"".\n عندما تصبح الشاشة فارغة، أوقف تشغيل الجهاز من مصدر الطاقة أو سلك الطاقة.\n شغل الجهاز. إذا حدث الخطأ مجددا، اطلب الصيانة."
ScotApp_853,أربع سلع
ScotApp_1845,الوصل
ScotApp_1537,نرجو الرجوع إلى دليل الآلة لإصلاح الخطأ.
ScotApp_732,732 غير مستخدمة
ScotApp_632,632 غير مستخدمة
ScotApp_532,سلعة خاضعة لقيود
ScotApp_432,EBT
ScotApp_332,الخروج من وضعية المساعدة
ScotApp_232,* انزع متلقي النقود الورقية وعلبتها.\n* تأكد من عدم انسداد العلبة.\n* افتح المداخل في أعلى المتلقي وتأكد من عدم وجود أوراق نقدية عالقة.\n* أغلق المداخل بإحكام.\n* أعد المتلقي والعلبة إلى مكانيهما.
ScotApp_132,132 غير مستخدمة
ScotApp_1110,    الكمية %s بسعر  %s/لكل وحدة\t%s
ScotApp_1242,خصم
ScotApp_1285,مفضل
ScotApp_932,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s;LSWND3=%s;
ScotApp_832,832 غير مستخدمة
ScotApp_1327,"المس التقرير المطلوب ثم المس ""تشغيل التقرير""."
ScotApp_711,711 غير مستخدمة
ScotApp_611,اختر الوظيفة المطلوبة.
ScotApp_511,قارن توقيع العميل بالتوقيع على البطاقة.
ScotApp_411,خذ بطاقة الولاء
ScotApp_311,الصندوق فارغ
ScotApp_111,إعادة ضبط الميزان
ScotApp_1789,القسيمة
ScotApp_1536,نرجو الرجوع إلى دليل الآلة لإصلاح الخطأ.
ScotApp_911,مسح الأمان
ScotApp_811,امسح بطاقة الهدية. نرجو البحث في السلة عن سلع إضافية.
ScotApp_1628,خطأ في وحدة المعالجة المركزية
ScotApp_1523,نرجو الرجوع إلى دليل الآلة لإصلاح الخطأ.
ScotApp_1349,%s\n %s\n%s %s المتوقع\n%s %s الملاحظ
ScotApp_1892,التحليل الأمني
ScotApp_1279,شيك
ScotApp_1535,نرجو الرجوع إلى دليل الآلة لإصلاح الخطأ.
ScotApp_1057,1057 غير مستخدمة
ScotApp_1441,إدارة النقود المعدنية
