AmountSaved,节省金额
ScotApp_234,取下纸币盛放盒。\n\n从中取出纸币。\n\n装回盛放盒直至其卡入原位。\n\n拉上盛放盒的手柄，以确保闩锁锁住盛放盒。
ScotApp_1569,价值
ScotApp_1801,运行模式
ScotApp_934,重量增加
ScotApp_1622,盒
ScotApp_768,暂停确认
ScotApp_668,签名打印成功。
ScotApp_1347,试图重新连接
ScotApp_1778,清除安全
ScotApp_168,扫描您的优惠券，然后把其放到一旁，直至购物完成。
ScotApp_1203,背书单证
ScotApp_1634,电缆问题
ScotApp_1556,收受器拾取
ScotApp_1412,协助功能
ScotApp_1783,安全门敞开
ScotApp_1232,已批准签名
ScotApp_1568,全部总计 ：        %s
ScotApp_1800,选择运行模式
ScotApp_1495,请参阅设备手册纠正该错误。
ScotApp_1621,为纸币盒解锁
ScotApp_1346,该结帐通道脱机。系统正试图重新连接。
ScotApp_72,72unused
ScotApp_62,是
ScotApp_52,取消优惠券
ScotApp_42,剔除商品
ScotApp_32,继续
ScotApp_12,  数量%d @ %s/每件
ScotApp_1411,更改数量
ScotApp_92,欢迎！
ScotApp_82,82unused
ScotApp_1807,_ _ _
ScotApp_1089,结束报告期间
ScotApp_1620,为纸币盒盖解锁
ScotApp_1345,正在结束安全管理器...
ScotApp_1819,硬币收受找赎设备的收受单元出错
ScotApp_762,762unused
ScotApp_662,%
ScotApp_1554,收受器
ScotApp_462,已经载入远程审批(Remote Approval)。
ScotApp_362,输入密码
ScotApp_262,262unused
ScotApp_162,扫描您的商品和优惠券。
ScotApp_1410,更改价格
ScotApp_962,收集剔除商品结帐通道，然后按“批准剔除”按钮。
ScotApp_862,优惠券金额登入项：
ScotApp_1806,\n*触摸“仅接受卡”按钮，以结束交易，并亲手把零钱交给顾客。
ScotApp_1088,1088unused
ScotApp_1627,硬币/纸币收款找零机出错
ScotApp_741,741unused
ScotApp_641, 平均重量        批准     统计      容差类型      容差数值        日期
ScotApp_541,打印店员扫描的条码
ScotApp_441,确认金额
ScotApp_341,341unused
ScotApp_241,设备管理器意外出错
ScotApp_141,选择卡的类型
ScotApp_941,已剔除商品
ScotApp_841,商品登入项
ScotApp_1873,1873unused
ScotApp_25,出生日期：
ScotApp_720,720unused
ScotApp_520,未知货号
ScotApp_420,420unused
ScotApp_320,返回
ScotApp_220,* 打开打印机箱的门。\n* 打开打印机盖检查堵塞。\n* 载入一卷新打印纸。\n* 关闭并锁好打印机箱。
ScotApp_120,交易取消。请从此收银台移走
ScotApp_1626,补充现金或选择其它功能。
ScotApp_1423,手持扫描仪正在尝试连接。
ScotApp_920,批准/不更新。
ScotApp_820,批准剔除
ScotApp_1757,要添加某个口音，请按屏幕底部的“口音”按钮，然后键入字母。
ScotApp_1872,1872unused
ScotApp_754,前7天总结
ScotApp_554,此时不要刷卡记账卡。
ScotApp_1613,拒收箱
ScotApp_354,系统功能
ScotApp_254,硬币找赎机无法使用。\n向硬币找赎机填入硬币或\n接通电源或\n清除找赎机堵塞。
ScotApp_154,正在载入...
ScotApp_1769,输入代码
ScotApp_1240,现金
ScotApp_954,智能秤打开失败
ScotApp_854,五件商品
ScotApp_1547,请参阅设备手册纠正该错误。
ScotApp_1403,停止NCR SelfServ Checkout程序，然后重新启动该程序。若错误仍然存在，请联系您的服务台。
ScotApp_545,有条件限制的商品
ScotApp_1559,退出
ScotApp_1871,%s %s 实际观察到
ScotApp_1612,卡管理
ScotApp_1550,请参阅设备手册纠正该错误。
ScotApp_845,扫描更多商品：
ScotApp_1564,输入%s的载入计数
ScotApp_1768,重量单位不被不支持。
ScotApp_1272,USERDEFINED14
ScotApp_1546,请参阅设备手册纠正该错误。
ScotApp_74,批准剔除
ScotApp_64,取消选定
ScotApp_54,取消
ScotApp_44,44unused
ScotApp_34,34unused
ScotApp_1558,退出并保存
ScotApp_14,14unused
ScotApp_1870,%s %s 预计
ScotApp_1389,签名识别设备出错
ScotApp_1611,     拒收箱已装满
ScotApp_94,94unused
ScotApp_84,加载选项
ScotApp_1289,B - C
ScotApp_687,打印报告
ScotApp_587,签名
ScotApp_487,向下
ScotApp_387,传送堵塞
ScotApp_287,扫描仪：无效的标牌
ScotApp_1545,请参阅设备手册纠正该错误。
ScotApp_1336,实用工具
ScotApp_987,商品已从接取带上移开。放回商品。
ScotApp_887,商品已移开
ScotApp_555,其它付款
ScotApp_1610,     拒收箱接近装满 (%s)
ScotApp_1041,批准签名
ScotApp_1691,现金管理
ScotApp_1809,硬币收款找零设备的找零部分出错
ScotApp_1288,A
ScotApp_761,761unused
ScotApp_1193,已验证身份
ScotApp_561,请把优惠券放到一旁
ScotApp_461,正在载入远程审批(Remote Approval)...
ScotApp_361,结帐通道已关闭
ScotApp_261,261unused
ScotApp_961,重量学习数据库故障：检查事件查看器的错误，然后按“我已解决该问题”按钮。
ScotApp_861,861unused
ScotApp_1876,%s %s 实际观察到
ScotApp_740,740unused
ScotApp_640,现有WLDB重量输入项
ScotApp_540,540unused
ScotApp_340,选择清单上的商品。使用箭头键上下滚动。
ScotApp_240,设备管理器一般故障
ScotApp_140,谢谢
ScotApp_1105,e=d=0.005公斤，最重13.995公斤，最轻0.1公斤，最多2799
ScotApp_1192,组装费用
ScotApp_940,剔除
ScotApp_840,商品输入项：
ScotApp_1863,触摸 “批准” 或 “撤销商品”
ScotApp_1463,更改价值
ScotApp_1875,%s %s 预计
ScotApp_774,挣得的积分：
ScotApp_674,偿付被拒绝的原因：
ScotApp_780,780unused
ScotApp_474,474unused
ScotApp_374,打印机黑标错误
ScotApp_174,找不到已扫描的商品。\n\n该商品尚未被购买，或已被取消。
ScotApp_1029,插入优惠券
ScotApp_974,974unused
ScotApp_1679,纸币库出错
ScotApp_1747,指纹识别器出错
ScotApp_1862,在扫描称量台上验证商品
ScotApp_1603,     出卡机卡箱中的卡数量正常
ScotApp_1419,一包多件商品
ScotApp_1759,优惠券箱已满
ScotApp_649,价格已嵌入
ScotApp_1039,上一件商品配有EAS标牌。
ScotApp_849,需要数量
ScotApp_765,765unused
ScotApp_565,商店登录
ScotApp_1549,请参阅设备手册纠正该错误。
ScotApp_1861,购物清单
ScotApp_1731,正在载入选购商品图像...
ScotApp_76,76unused
ScotApp_66,66unused
ScotApp_56,取消付款
ScotApp_46,帮助
ScotApp_36,退款：
ScotApp_26,26unused
ScotApp_16,%s将记入您的卡。
ScotApp_719,719unused
ScotApp_619,选择<输入允许误差>或<默认> 编辑当前允许误差。
ScotApp_519,优惠券金额太高
ScotApp_419,419unused
ScotApp_319,刷卡
ScotApp_219,219unused
ScotApp_119,取消所有商品
ScotApp_96,96unused
ScotApp_86,86unused
ScotApp_1755,从列表中选择
ScotApp_1038,验证签名
ScotApp_919,验证商品重量，然后按“批准并更新重量”按钮，或按“批准/不更新”按钮。
ScotApp_1489,请参阅设备手册纠正该错误。
ScotApp_1745,指纹识别装置断开。 \n\n请再试一次。
ScotApp_1860,Please select from picklist assisted items or look-up item alphabetically.
ScotApp_1268,USERDEFINED10
ScotApp_1008,1008unused
ScotApp_786,结帐通道暂停
ScotApp_686,昨天
ScotApp_586,优惠券： %0.0ld/¥%0.2lf
ScotApp_486,向上
ScotApp_386,盛放盒已移开
ScotApp_286,扫描仪：无效的标牌前缀2
ScotApp_186,186unused
ScotApp_1488,请参阅设备手册纠正该错误。
ScotApp_986,986unused
ScotApp_886,商品已从装袋台移开。\n放回商品。
ScotApp_1393,停止NCR SelfServ Checkout程序，然后重新启动该程序。若错误仍然存在，请联系服务台。
ScotApp_1867,镜头被阻挡
ScotApp_68,68unused
ScotApp_38,38unused
ScotApp_28,取消购物
ScotApp_1024,1024unused
ScotApp_760,请在此屏幕一侧刷卡。
ScotApp_660,所有货币的量正常
ScotApp_460,此操作将完成您的购物。
ScotApp_360,关闭结帐通道
ScotApp_260,260unused
ScotApp_1392,三色灯错误
ScotApp_960,袋秤故障：检查袋秤或事件查看器的错误，然后按“我已解决该问题”按钮。
ScotApp_860,需要测量：
ScotApp_1866,更多热门商品
ScotApp_1459,现金管理报告
ScotApp_1239,无
ScotApp_1301,编辑选购清单
ScotApp_1749,正在处理指纹
ScotApp_1017,清除传送带上的堆积商品。
ScotApp_1771,优惠券金额限制
ScotApp_739,739unused
ScotApp_639,预计重量            重量比较
ScotApp_539,539unused
ScotApp_439,439unused
ScotApp_339,339unused
ScotApp_239,设备管理器出现意外状态
ScotApp_1092,报告内容
ScotApp_1851,不批准
ScotApp_1238,其它付款
ScotApp_939,计时器超时
ScotApp_839,取消行动
ScotApp_1333,退格
ScotApp_24,已失效
ScotApp_1016,传送带上的堆积商品
ScotApp_1615,按出卡机拾取按钮以卸载
ScotApp_1723,培训交易
ScotApp_1028,超过优惠券限额
ScotApp_1435,硬币/纸币找赎器出错
ScotApp_1698,按“问题已解决”按钮盘。
ScotApp_1688,盛放盒出错
ScotApp_454,454unused
ScotApp_1593,取出硬币
ScotApp_1642,纸币收款找零机出错
ScotApp_1015,堆积商品
ScotApp_785,785unused
ScotApp_685,每小时
ScotApp_585,585unused
ScotApp_536,硬币收受器
ScotApp_385,385unused
ScotApp_285,扫描仪：无效的标牌后缀
ScotApp_185,对比顾客签名和卡上的签名。
ScotApp_1224,需要价格
ScotApp_985,把商品放到接取带上。
ScotApp_885,装袋提示
ScotApp_575,结束现金偿付。应付余额。
ScotApp_475,暂停交易
ScotApp_375,打印机超时
ScotApp_1002,无销售
ScotApp_1888,监督客户交易， 以保证交易安全性， 然后触摸 “清除安全”。
ScotApp_910,910unused
ScotApp_1592,从卡住硬币的钱箱中取出硬币。倾斜硬币钱箱。把螺丝向右转，直到可以取出硬币。不要过度用力。
ScotApp_875,取消购物需要收银主管的身份号码
ScotApp_1014,清除传送带上的堆积商品。
ScotApp_1572,您是否确实要在硬币管理屏幕上忽略更改？
ScotApp_1790,仅接受信用卡/借记卡
ScotApp_1344,已载入安全管理器。
ScotApp_798,798unused
ScotApp_698,698unused
ScotApp_598,表格%d储存失败！
ScotApp_498,实付金额：
ScotApp_398,盛放盒已插入
ScotApp_298,298unused
ScotApp_198,正在载入用户退出(User Exits)功能...
ScotApp_998,数量
ScotApp_898,正在结束WTINFO...
ScotApp_1416,检查一包多件商品
ScotApp_1431,取消全部
ScotApp_1236,正在处理报告...
ScotApp_1770,选择搜索结果
ScotApp_1000,未找到
ScotApp_1439,袋/盒超过限额
ScotApp_1217,剔除
ScotApp_759,请在付款设备上刷卡。
ScotApp_659,货币短缺状态：
ScotApp_559,无优惠券
ScotApp_459,此次购物仍然留有余额。
ScotApp_359,系统功能
ScotApp_259,正在结束设备管理器...
ScotApp_1007,已请求帮助
ScotApp_1438,新商品超过限额
ScotApp_959,重量记忆资料库
ScotApp_859,否
ScotApp_1216,安全
ScotApp_1373,收集礼品卡
ScotApp_1005,视觉检查
ScotApp_1655,销售部
ScotApp_1228,暂停
ScotApp_1725,安全功能被禁用
ScotApp_1006,其它偿付
ScotApp_496,数量限制
ScotApp_1018,最小年龄。
ScotApp_1160,检查电缆是否连接到小键盘后面。\n\n如果电缆连接牢固，请按“我已解决该问题”按钮。\n\n若错误仍然存在，请关闭终端后重新启动。
ScotApp_1073,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s;LSWND3=%s;DATANEEDEDTYPE=%d;
ScotApp_1424,要连接您的手持扫描仪，请按“连接”按钮。
ScotApp_1202,已关闭购物通道
ScotApp_679,协助报告
ScotApp_1792,仅接受卡
ScotApp_1214,收据
ScotApp_1804,退出仅接受卡的模式
ScotApp_879,879unused
ScotApp_1072,需要信息
ScotApp_1631,纸币校验机错误
ScotApp_1148,秤未回应。
ScotApp_1244,借记储蓄卡
ScotApp_1004,检查商品
ScotApp_1282,需要价格，用于：
ScotApp_1071,1071unused
ScotApp_1276,USERDEFINED18
ScotApp_1200,价格提示
ScotApp_1639,硬币收款找零机出错
ScotApp_1828,\n    - 音量 %d%%
ScotApp_1308,已输入个人识别号码
ScotApp_1417,若商品是一包多件商品，请按“协助模式”进行剔除该商品的操作，然后扫描一包多件商品的条形码。
ScotApp_1343,正在载入安全管理器...
ScotApp_779,779unused
ScotApp_1429,<<<硬币不足。请补充硬币。>>>     
ScotApp_579,579unused
ScotApp_479,把优惠券丢入其收集容器
ScotApp_379,现金收受器
ScotApp_279,承认所有记录的安全问题。
ScotApp_179,179unused
ScotApp_1865,查找商品\n无重量
ScotApp_1207,属实签名
ScotApp_1638,检查硬币收款找零机电缆后重试。若错误再次发生，请要求服务。\n\nSafePay安全付款功能出错： %s
ScotApp_979,限定次数= %d次顾客的要求
ScotApp_707,前7天
ScotApp_607,设置必须装袋的规定
ScotApp_507,视觉验证商品
ScotApp_307,其它容器
ScotApp_207,207unused
ScotApp_107,正准备提供帮助
ScotApp_1219,年龄限制
ScotApp_907,907unused
ScotApp_807,取下安全标牌
ScotApp_1077,把商品放回传送带
ScotApp_1428,更改该商品价格： \n%s
ScotApp_1695,稍后修复
ScotApp_1206,未禁用商品
ScotApp_1218,收集
ScotApp_1782,以服务员模式开始交易
ScotApp_1273,USERDEFINED15
ScotApp_1624,把所有纸币转入盒中
ScotApp_793,793unused
ScotApp_1059,1059unused
ScotApp_593,正在载入NCR SelfServ Checkout SigCap签名识别...
ScotApp_493,收据将在付款设备下面打印出来。
ScotApp_393,流水账打印机
ScotApp_293,请要求帮助
ScotApp_1205,装袋台商品堆积
ScotApp_993,结帐通道关闭
ScotApp_893,正在载入DBM...
ScotApp_1063,1063unused
ScotApp_1414,在恢复供电之前，此结帐通道无法使用。
ScotApp_1182,优惠券金额限制
ScotApp_1201,辅助支付
ScotApp_1075,限制\跳过传送带
ScotApp_1348,结帐通道关闭
ScotApp_1671,打开纸币收款找零机装置，消除卡住的纸币。关闭收款找零机装置。\n从硬币料斗配送硬币然后从零钱接收槽中取出硬币。
ScotApp_1204,单证编号
ScotApp_1284,1284unused
ScotApp_1062,1062unused
ScotApp_1233,其它付款
ScotApp_27,27unused
ScotApp_1074,批准跳过传送带。
ScotApp_1472,收款找零机设备尚未就绪
ScotApp_1026,取消交易
ScotApp_1061,1061unused
ScotApp_1617,输入的容量太大。重新输入出卡机容量。最大容量是%d。
ScotApp_1050,1050unused
ScotApp_744,744unused
ScotApp_1591,检查硬币找赎机的电缆连接。
ScotApp_1130,纸币收受器出错
ScotApp_1270,USERDEFINED12
ScotApp_1629,CPU设置或Sysdata系统参数有问题。请要求帮助服务。\n\nSafePay安全付款功能出错：%s
ScotApp_1820,"从秤盘上取走商品，然后按扫描仪上的"">0<""按钮。"
ScotApp_882,确认暂停。
ScotApp_1440,纸币管理
ScotApp_1407,重新启动
ScotApp_727,727unused
ScotApp_627,交易号：
ScotApp_527,527unused
ScotApp_427,媒介低
ScotApp_327,设备出错：
ScotApp_227,读卡器中插入了无效卡
ScotApp_127,127unused
ScotApp_665,选择“取消所有”或“返回”按钮以继续。
ScotApp_1060,请稍候...
ScotApp_1616,输入出卡机卡箱的容量。最多可装入%d。
ScotApp_927,设备故障
ScotApp_827,把商品的条形码划过扫描台然后把其放到装袋台。
ScotApp_1540,请参阅设备手册纠正该错误。
ScotApp_900,把商品放到装袋台。
ScotApp_1277,USERDEFINED19
ScotApp_865,验证持卡人
ScotApp_506,506unused
ScotApp_406,406unused
ScotApp_306,没有容器
ScotApp_206,选项将被载入。
ScotApp_106,需要帮助
ScotApp_1209,礼品卡超过限额
ScotApp_806,批准经视觉检查的商品
ScotApp_1067,1067unused
ScotApp_1418,重量超过了最大允许重量。
ScotApp_1473,装置尚未就绪。\n\n请接通电源，检查通信电缆，或把装置放回机箱内。
ScotApp_187,187unused
ScotApp_1716,预计重量:
ScotApp_1190,记入优惠券
ScotApp_1602,     出卡机卡箱中的卡数量不足 (%s)
ScotApp_1149,收据打印机错误
ScotApp_1066,1066unused
ScotApp_1614,出卡机卡箱
ScotApp_792,792unused
ScotApp_692,692unused
ScotApp_592,已载入NCR SelfServ Checkout加密器。
ScotApp_492,请拿好找给您的钱。
ScotApp_392,未知商品
ScotApp_292,无法扫描优惠券
ScotApp_192,192unused
ScotApp_1241,信用卡
ScotApp_1197,已取消交易
ScotApp_1548,请参阅设备手册纠正该错误。
ScotApp_992,请输入生日
ScotApp_892,正在结束智能秤...
ScotApp_1053,等待收银员拿给您字条，以便您在上面签名。
ScotApp_1404,收款机服务器已关闭或失去同步，请用开关关闭终端。
ScotApp_1245,借记检验
ScotApp_1262,USERDEFINED4
ScotApp_1471,硬币收款找零设备出错
ScotApp_1196,驾照号码
ScotApp_1052,1052unused
ScotApp_1600,出卡机状态：
ScotApp_1663,箱是空的或堵塞
ScotApp_1261,USERDEFINED3
ScotApp_1125,把每个硬币筒填满硬币。\n\n转到商店模式，选择“现金/纸张状态”并按“硬币找赎机已补充硬币”按钮。
ScotApp_1183,价格提示
ScotApp_1470,纸币收款找零设备出错
ScotApp_1195,顾客服务协议(CSA)已暂停
ScotApp_1229,已请求帮助
ScotApp_1051,字条批准
ScotApp_1607,     拒收箱正常 (%s)
ScotApp_1895,Genr Excp
ScotApp_747,747unused
ScotApp_647,否
ScotApp_447,您经常购物的帐户已被激活。
ScotApp_347,限制销售的商品已被取消 – 顾客年龄不符合要求。请把商品放到一旁。
ScotApp_247,247unused
ScotApp_147,147unused
ScotApp_1260,USERDEFINED2
ScotApp_1619,暂停
ScotApp_769,确认或取消暂停。
ScotApp_947,新重量商品
ScotApp_847,扫描完成
ScotApp_1477,请参阅设备手册纠正该错误。
ScotApp_726,726unused
ScotApp_626,允许误差：
ScotApp_526,\n个人识别号码输入错误。\n请刷其它卡\n -或- \n支付现金
ScotApp_426,结帐通道编号：
ScotApp_326,对于有年龄限制的商品，出生日期不符合年龄限制。请重新输入或剔除所有有限制的商品。
ScotApp_226,读卡器设备无法使用
ScotApp_126,(mmddyy).
ScotApp_1606,     拒收箱正常
ScotApp_926,商品未退回到装袋台。
ScotApp_826,我不想\n把该商品装袋
ScotApp_1267,USERDEFINED9
ScotApp_1618,一个纸币找赎机盒脱出或未完全插入。\n\n请装回机盒或使其闩入到位。
ScotApp_1181,超过优惠券限额
ScotApp_205,复制完成。
ScotApp_105,未知商品
ScotApp_1476,请参阅设备手册纠正该错误。
ScotApp_1730,搜索
ScotApp_1390,装置未回应
ScotApp_805,批准商品
ScotApp_1864,前往结账通道
ScotApp_1408,帮助
ScotApp_1266,USERDEFINED8
ScotApp_1180,价格不符
ScotApp_1208,协助模式销售
ScotApp_1475,请参阅设备手册纠正该错误。
ScotApp_1397,服务员
ScotApp_1748,指纹登录失败
ScotApp_718,718unused
ScotApp_618,重量允许误差
ScotApp_518,插入现金
ScotApp_1253,PIP会员优惠卡
ScotApp_1604,     出卡机卡箱中的卡数量正常 (%s)
ScotApp_218,打印机接近无纸
ScotApp_118,需要批准
ScotApp_552,店员和密码不能以零开始。
ScotApp_791,选择付款类型
ScotApp_691,691unused
ScotApp_591,正在载入NCR SelfServ Checkout加密器...
ScotApp_391,需要价格的商品
ScotApp_918,无商品重量记录。
ScotApp_1187,装置出错
ScotApp_991,年龄检查
ScotApp_891,已载入智能秤。
ScotApp_1474,硬件出错。错误代码E%d
ScotApp_1396,退出服务员模式
ScotApp_1252,PIP借记现金返还
ScotApp_1732,已经载入选购商品图像。
ScotApp_1461,硬币
ScotApp_1166,* 打开打印机门。\n* 打开闩锁，推回打印机。\n* 打开打印机盖检查堵塞。\n* 关闭打印机盖并重新载入纸张。\n* 小心地向前拉打印机，直到其就位。
ScotApp_1186,意外降低
ScotApp_1857,  请勿把商品放到传送带上	
ScotApp_1829,批准
ScotApp_1670,硬币/纸币收款找零机出错
ScotApp_1198,已输入帐号
ScotApp_1869,手在镜头视野中
ScotApp_1251,PIP借记卡
ScotApp_1855,非必选
ScotApp_767,媒介水平正常
ScotApp_667,已刷卡。请扫描您的商品和优惠券。
ScotApp_567,输入
ScotApp_467,467unused
ScotApp_367,367unused
ScotApp_267,安全
ScotApp_1460,纸币
ScotApp_1185,包装盒超过限额
ScotApp_1009,商店模式
ScotApp_867,否
ScotApp_1856,  请勿装袋
ScotApp_1677,检查硬币收款找零机的门是否关闭。
ScotApp_746,746unused
ScotApp_646,是
ScotApp_1394,数字接口出错
ScotApp_446,暂停交易
ScotApp_346,转账（现金返回）
ScotApp_246,246unused
ScotApp_146,请选择付款方式。
ScotApp_1501,请参阅设备手册纠正该错误。
ScotApp_1609,     拒收箱接近装满
ScotApp_1194,授权号码
ScotApp_946,袋/盒批准
ScotApp_846,扫描商品或按“扫描完成”按钮。
ScotApp_1843,自备购物袋
ScotApp_1467,使用“现金/纸张状态”屏幕来卸下现金。
ScotApp_725,725unused
ScotApp_625,输入一个在 <%s>和<%s>之间的重量允许误差。
ScotApp_1381,正在处理...
ScotApp_425,425unused
ScotApp_325,输入的日期无效
ScotApp_225,读卡器卡片箱已插入
ScotApp_1676,硬币收款找零机门敞开
ScotApp_925,925unused
ScotApp_825,商品装袋
ScotApp_1608,     拒收箱是空的
ScotApp_1842,充分协助
ScotApp_1808,选择收据上的商品。 
ScotApp_1466,收款找零机状态为现金充裕
ScotApp_1380,价格
ScotApp_1854,非必选
ScotApp_1675,硬币收款找零机出错
ScotApp_1597,会员优惠卡
ScotApp_1350,%s\n%s %s 已添加
ScotApp_738,738unused
ScotApp_638,有效的WLDB允许误差信息
ScotApp_538,538unused
ScotApp_338,输入商品说明的前三个字母。
ScotApp_238,\n纸币收受器未记录插入的现金。\n\n请检查纸币盛放盒。
ScotApp_138,请取走卡
ScotApp_1170,* 打开打印机外壳门。\n* 打开打印机盖后清除堵塞纸张。\n*关闭打印机盖并重新载入纸张。\n* 关闭并锁上打印机外壳门。
ScotApp_1841,请到结帐通道进行批准
ScotApp_1740,验证袋子
ScotApp_938,938unused
ScotApp_838,顾客协议
ScotApp_1133,纸币收受器堵塞。
ScotApp_1387,"遇到软件致命错误。\n重启终端。\n\n重启终端方法：\n* 把管理员的键盘锁转到'S’ –或-按管理员按钮。\n* 选择重启整个系统。\n* 请求协助，并把错误情况告诉店方。"
ScotApp_1674,请按拒绝按钮来释放卡住的硬币。若错误再次发生，则可能存在硬币堵塞。打开硬币盒盖并固定。取出卡住的硬币。按拒收按钮来复位。释放并关闭硬币盒盖。
ScotApp_1650,(ddmmyy)
ScotApp_690,690unused
ScotApp_590,正在结束Device Factory...
ScotApp_490,"扫描您的商品，或按""开始""按钮开始。"
ScotApp_390,召回商品
ScotApp_290,290unused
ScotApp_190,正在载入交易代理...
ScotApp_990,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s;LSWND3=%s;
ScotApp_890,正在载入智能秤...
ScotApp_1772,优惠券
ScotApp_1661,无法打印收据。请按“其它收据”按钮重试。
ScotApp_1132,通讯错误。
ScotApp_1386,致命错误
ScotApp_784,纸币找赎机无法工作\n* 在纸币找赎机中填入纸币或\n* 清除找赎机堵塞或\n* 调整残钞箱。
ScotApp_684,今天
ScotApp_584,EBT电子福利转账卡被拒绝。
ScotApp_484,需要签名
ScotApp_384,384unused
ScotApp_284,扫描仪：数据丢失
ScotApp_1595,首选语言
ScotApp_1451,收银员编号
ScotApp_984,已载入接取带。
ScotApp_884,取消暂停
ScotApp_1847,"已添加该商品。 请扫描下一件商品或触摸""输入代码""。"
ScotApp_1660,选择打印选项
ScotApp_1131,纸币盒脱出或未正确插入。
ScotApp_1385,选择语言
ScotApp_1436,免于装袋的次数超过限定次数
ScotApp_1049,1049unused
ScotApp_666,666unused
ScotApp_1594,正确关闭终端然后重新启动之。
ScotApp_466,  已扫描的未知商品
ScotApp_366,打印机切刀堵塞
ScotApp_266,正在结束安全代理...
ScotApp_966,966unused
ScotApp_1541,请参阅设备手册纠正该错误。
ScotApp_1846,"扫描商品或触摸""输入代码""。"
ScotApp_1667,纸币卡住
ScotApp_1689,纸币收款找零机出错
ScotApp_745,745unused
ScotApp_645,把扫描商品再次放到装袋台。
ScotApp_1581,硬币找赎机
ScotApp_445,现金津贴
ScotApp_345,345unused
ScotApp_245,读卡器设备无法使用
ScotApp_145,145unused
ScotApp_945,限制\袋/盒
ScotApp_713,713unused
ScotApp_613,把商品放到袋秤上。
ScotApp_513,513unused
ScotApp_313,313unused
ScotApp_213,213unused
ScotApp_113,取消商品
ScotApp_1573,按载入按钮以补充，或按收受器拾取和找赎机拾取按钮来卸下。
ScotApp_913,安全秤盘上的意外商品。
ScotApp_813,输入采购订单号/项目名称，然后按“输入”按钮。
ScotApp_1666,纸币收款找零机错误
ScotApp_1137,%s纸币盒未安装。
ScotApp_1580,纸币找赎机
ScotApp_758,758unused
ScotApp_658,货币短缺
ScotApp_558,限量商品
ScotApp_1653,金额超过容量。需要的最高金额是%s，已自动输入%s的金额。
ScotApp_358,返回到协助模式
ScotApp_258,正在结束交易代理...
ScotApp_158,该商品需要商店批准。请继续。
ScotApp_1844,搜索
ScotApp_958,袋秤
ScotApp_858,是
ScotApp_1136,纸币拒收箱脱出或未完全闩入到位。
ScotApp_1587,您确定要忽略纸币管理屏幕上的变化吗？
ScotApp_1531,请参阅设备手册纠正该错误。
ScotApp_1599,%s偏好查找失败。
ScotApp_1652,(yymmdd)
ScotApp_1123,"* 在取出所有卡住的纸币之前请勿按“继续”按钮。\n* 小心地把纸币找赎机推回机箱。\n* 从纸币找赎机取出卡住的纸币，但不要影响传送带。\n* 把找赎机推入机箱。\n* 锁好找赎机门，然后触摸""我已解决该问题""。"
ScotApp_1342,选择实用工具
ScotApp_1332,空格键
ScotApp_1586,%s    %s  %s
ScotApp_1444,取出
ScotApp_1598,您的偏好已恢复。
ScotApp_1651,(yyyymmdd)
ScotApp_1122,纸币可能卡在纸币找赎机出口处。\n\n请把纸币找赎机部分抽出。\n\n在所显示的区域取出卡住的纸币。\n小心地把纸币找赎机推回到机箱。
ScotApp_1331,Shift键
ScotApp_1585,钱箱  金额  金额的变化
ScotApp_1118,找赎%s纸币出错。\n\n%s无法从纸币盒中取出纸币。\n\n请取出%s纸币盒然后检查纸币放置情况。
ScotApp_1884,智能辅助装置警报
ScotApp_1191,需要测量
ScotApp_1121,纸币可能会卡在所显示的区域。\n\n请把纸币找赎机部分抽出。\n\n取出卡住的纸币。\n\n小心地把纸币找赎机推回到机箱。
ScotApp_503,503unused
ScotApp_403,403unused
ScotApp_1849,
ScotApp_1330,商品未装袋
ScotApp_1355,您的余额
ScotApp_1584,钱箱  计数  计数的变化
ScotApp_465,%s               %s
ScotApp_365,打印头堵塞
ScotApp_265,265unused
ScotApp_965,965unused
ScotApp_633,签名：
ScotApp_433,433unused
ScotApp_333,读卡器遮门堵塞错误
ScotApp_233,确保纸币收受器安装得正确。\n\n向前拉动手柄以释放并向前滑动纸币收受器。\n\n把其推回直到其就位。
ScotApp_133,133unused
ScotApp_1120,在%s纸币盒前面可能有纸币堵塞。\n\n请取下%s纸币盒后在此区域寻找纸币堵塞。\n\n如果可能，请取出卡住的纸币，然后装回纸币盒。
ScotApp_1805,退出仅接受现金的模式
ScotApp_933,重量不符
ScotApp_833,833unused
ScotApp_1337,退出NCR SelfServ Checkout系统
ScotApp_1780,开始交易
ScotApp_712,712unused
ScotApp_612,增加重量
ScotApp_512,视觉验证
ScotApp_312,卡箱被堵塞
ScotApp_212,212unused
ScotApp_112,确认数量
ScotApp_1081,查看\n所有结帐通道
ScotApp_778,778unused
ScotApp_678,678unused
ScotApp_578,结束卡偿付。找赎应找零钱。
ScotApp_478,把优惠券丢入其收集容器
ScotApp_378,收据打印机
ScotApp_278,安全日志
ScotApp_1127,重新连接
ScotApp_1802,仅接受卡
ScotApp_978,限定次数= %d
ScotApp_878,输入价格。
ScotApp_1533,请参阅设备手册纠正该错误。
ScotApp_1787,输入使用过的塑料袋的数量。若未使用塑料袋，请输入0。
ScotApp_1799,仅接受卡的模式
